frequency,vipp,vopp,phase
1.00000000e+01,102e-3,14.2e-3,87.2
1.61560000e+01,102e-3,22.2e-3,86.6
2.61020000e+01,102e-3,35.5e-3,83.7
4.21700000e+01,102e-3,56.4e-3,78.9
6.81290000e+01,102e-3,88.8e-3,72.2
1.10069000e+02,102e-3,134e-3,63.0
1.77828000e+02,102e-3,188e-3,51.4
2.30e+02,102e-3,216e-3,44.01
2.50e+02,102e-3,224e-3,42.8
2.70e+02,102e-3,234e-3,39.3
2.87298000e+02,102e-3,238e-3,37.2
4.64159000e+02,102e-3,272e-3,26.7
7.49894000e+02,102e-3,288e-3,17.3
1.21152800e+03,102e-3,297e-3,10.9
1.95734200e+03,102e-3,300e-3,5
3.16227800e+03,102e-3,302e-3,2.95
5.10897000e+03,102e-3,302e-3,1.1
8.25404200e+03,102e-3,302e-3,-0.29
1.33352140e+04,102e-3,304e-3,-1.5
2.15443470e+04,102e-3,302e-3,-2.79
3.48070060e+04,102e-3,302e-3,-5.77
5.62341330e+04,102e-3,300e-3,-8.09
9.08517580e+04,102e-3,298e-3,-12.4
1.46779927e+05,102e-3,294e-3,-20.7
2.37137371e+05,102e-3,280e-3,-33.6
3.83118685e+05,102e-3,248e-3,-51.8
6.18965819e+05,102e-3,190e-3,-75.5
1.00000000e+06,102e-3,123e-3,-104
3.00000000e+06,102e-3,3.8e-3,-149
10.0000000e+06,106e-3,400e-6,-170
20.0000000e+06,40.8e-3,40e-6,-180
