,CHAN1,CHAN2,CHAN3,CHAN4,time
0,-9.628,5.84,-6.0,6.0544,-0.0003
1,-9.860000000000001,6.0,-6.08,5.984,-0.00029949999999999996
2,-9.628,5.84,-6.08,6.0544,-0.00029899999999999995
3,-9.976,6.0,-6.0,5.984,-0.0002985
4,-9.860000000000001,6.0,-6.0,5.984,-0.000298
5,-9.512,5.84,-6.08,6.0544,-0.00029749999999999997
6,-9.860000000000001,5.92,-6.0,5.984,-0.00029699999999999996
7,-9.512,6.0,-6.08,6.0544,-0.0002965
8,-9.860000000000001,6.0,-6.08,5.984,-0.000296
9,-9.512,5.92,-6.0,6.0544,-0.00029549999999999997
10,-9.744,5.92,-6.0,6.0544,-0.00029499999999999996
11,-9.396,6.08,-6.08,5.913600000000001,-0.00029449999999999995
12,-9.744,5.92,-6.0,6.0544,-0.000294
13,-9.280000000000001,6.08,-6.16,5.913600000000001,-0.0002935
14,-9.512,6.08,-6.0,6.0544,-0.00029299999999999997
15,1.044,1.68,-6.16,5.913600000000001,-0.00029249999999999995
16,3.8280000000000003,1.6,-6.0,5.8432,-0.000292
17,-7.308000000000001,-2.24,-6.08,6.1248000000000005,-0.0002915
18,-7.424,0.0,-6.0,6.0544,-0.00029099999999999997
19,-9.976,0.16,-6.08,5.984,-0.00029049999999999996
20,-9.976,0.08,-6.0,5.984,-0.00029
21,-9.628,0.24,-6.16,6.0544,-0.0002895
22,-9.628,0.24,-6.0,6.0544,-0.000289
23,-9.976,0.08,-6.08,5.984,-0.00028849999999999997
24,-9.976,0.24,-6.0,6.0544,-0.00028799999999999995
25,-9.628,0.08,-6.08,5.984,-0.0002875
26,-9.628,0.16,-6.08,5.984,-0.000287
27,-9.976,0.24,-6.0,6.0544,-0.00028649999999999997
28,-9.628,0.16,-6.0,6.0544,-0.00028599999999999996
29,-9.976,0.32,-6.08,5.984,-0.00028549999999999995
30,-9.628,0.32,-6.08,6.0544,-0.000285
31,-9.976,0.16,-6.0,5.984,-0.0002845
32,-9.976,0.24,-6.0,5.984,-0.00028399999999999996
33,-9.628,0.32,-6.08,6.0544,-0.00028349999999999995
34,-9.628,0.16,-6.0,6.0544,-0.000283
35,-10.092,0.4,-6.08,5.913600000000001,-0.0002825
36,-9.628,0.24,-6.0,5.984,-0.00028199999999999997
37,-9.976,0.4,-6.08,6.0544,-0.00028149999999999996
38,-9.628,0.24,-6.0,5.984,-0.000281
39,-9.976,0.4,-6.08,6.0544,-0.0002805
40,-9.976,0.4,-6.0,6.0544,-0.00028
41,-9.628,0.32,-6.08,5.984,-0.00027949999999999996
42,-9.628,0.32,-6.0,5.984,-0.00027899999999999995
43,-9.976,0.4,-6.08,6.0544,-0.0002785
44,-9.628,0.48,-6.0,6.0544,-0.000278
45,-9.976,0.32,-6.08,5.913600000000001,-0.00027749999999999997
46,-9.628,0.48,-6.08,6.0544,-0.00027699999999999996
47,-9.976,0.32,-6.0,5.913600000000001,-0.0002765
48,-9.628,0.48,-6.0,6.0544,-0.000276
49,-9.976,0.4,-6.16,5.984,-0.0002755
50,-9.628,0.4,-6.0,6.0544,-0.00027499999999999996
51,-9.976,0.56,-6.16,5.913600000000001,-0.00027449999999999995
52,-9.628,0.4,-6.0,5.913600000000001,-0.000274
53,-9.976,0.56,-6.08,6.1248000000000005,-0.0002735
54,-9.976,0.56,-6.0,6.0544,-0.00027299999999999997
55,-9.628,0.4,-6.08,5.913600000000001,-0.00027249999999999996
56,-9.976,0.56,-6.08,6.0544,-0.000272
57,-9.628,0.4,-6.0,5.913600000000001,-0.0002715
58,-9.628,0.56,-6.16,5.984,-0.000271
59,-9.976,0.48,-5.92,6.0544,-0.00027049999999999996
60,-9.976,0.48,-6.0,5.984,-0.00026999999999999995
61,-9.628,0.64,-6.08,6.0544,-0.0002695
62,-9.860000000000001,0.48,-6.0,6.0544,-0.000269
63,-9.628,0.72,-6.16,5.984,-0.00026849999999999997
64,-9.628,0.56,-6.0,5.984,-0.00026799999999999995
65,-9.976,0.72,-6.16,6.0544,-0.0002675
66,-9.628,0.64,-6.0,5.984,-0.000267
67,-9.976,0.72,-6.08,6.0544,-0.00026649999999999997
68,-9.628,0.64,-6.0,6.0544,-0.00026599999999999996
69,-9.976,0.72,-6.08,5.984,-0.0002655
70,-9.976,0.64,-6.0,5.984,-0.000265
71,-9.628,0.8,-6.08,6.0544,-0.0002645
72,-9.628,0.64,-6.0,6.0544,-0.00026399999999999997
73,-9.976,0.8,-6.08,5.984,-0.00026349999999999995
74,-9.976,0.8,-6.0,6.0544,-0.000263
75,-9.628,0.72,-6.08,5.984,-0.0002625
76,-9.628,0.8,-6.0,5.984,-0.00026199999999999997
77,-9.976,0.72,-6.08,6.0544,-0.00026149999999999996
78,-9.628,0.72,-6.0,6.0544,-0.00026099999999999995
79,-9.976,0.88,-6.08,5.913600000000001,-0.0002605
80,-9.860000000000001,0.72,-6.0,6.0544,-0.00026
81,-9.628,0.88,-6.08,5.984,-0.00025949999999999997
82,-9.628,0.8,-6.0,6.0544,-0.00025899999999999995
83,-9.976,0.88,-6.08,5.984,-0.0002585
84,-9.628,0.88,-6.08,6.0544,-0.000258
85,-9.976,0.8,-6.0,5.984,-0.00025749999999999997
86,-9.628,0.8,-6.0,6.0544,-0.00025699999999999996
87,-9.976,0.96,-6.16,5.913600000000001,-0.0002565
88,-9.628,0.8,-6.0,6.0544,-0.000256
89,-9.976,0.96,-6.08,5.984,-0.0002555
90,-9.976,0.96,-6.0,5.913600000000001,-0.00025499999999999996
91,-9.628,0.8,-6.08,6.1248000000000005,-0.00025449999999999995
92,-9.976,0.88,-6.0,5.984,-0.000254
93,-9.628,1.04,-6.16,6.0544,-0.0002535
94,-9.628,0.88,-6.0,6.0544,-0.00025299999999999997
95,-9.976,0.96,-6.08,5.913600000000001,-0.00025249999999999996
96,-9.628,0.88,-6.0,6.0544,-0.00025199999999999995
97,-9.976,1.04,-6.16,5.913600000000001,-0.0002515
98,-9.628,0.88,-6.0,6.0544,-0.000251
99,-9.976,1.04,-6.16,5.984,-0.00025049999999999996
100,-9.628,1.04,-6.0,6.0544,-0.00025
101,-9.976,0.88,-6.08,5.913600000000001,-0.0002495
102,-9.628,1.04,-6.0,6.0544,-0.000249
103,-9.976,0.96,-6.08,5.984,-0.00024849999999999997
104,-9.976,1.04,-6.0,5.984,-0.00024799999999999996
105,-9.628,0.96,-6.08,6.0544,-0.0002475
106,-9.628,0.96,-6.0,6.0544,-0.000247
107,-9.976,1.12,-6.08,5.984,-0.0002465
108,-9.976,1.12,-6.0,5.984,-0.00024599999999999996
109,-9.628,0.96,-6.08,6.0544,-0.00024549999999999995
110,-9.628,1.12,-6.0,6.0544,-0.000245
111,-9.976,1.04,-6.08,5.984,-0.0002445
112,-9.628,1.04,-6.0,6.0544,-0.00024399999999999997
113,-9.976,1.2,-6.08,5.984,-0.00024349999999999998
114,-9.628,1.04,-6.0,6.0544,-0.00024299999999999997
115,-9.976,1.2,-6.08,5.984,-0.00024249999999999999
116,-9.628,1.04,-6.0,6.0544,-0.00024199999999999997
117,-9.976,1.2,-6.08,5.984,-0.00024149999999999996
118,-9.628,1.12,-6.0,5.984,-0.00024099999999999998
119,-9.976,1.2,-6.08,6.0544,-0.0002405
120,-9.628,1.2,-6.0,5.984,-0.00023999999999999998
121,-9.976,1.12,-6.08,6.0544,-0.00023949999999999997
122,-9.976,1.12,-6.0,6.0544,-0.00023899999999999998
123,-9.628,1.36,-6.16,5.913600000000001,-0.0002385
